,Anxiety,Bipolar,Depression,Normal,Personality disorder,Stress,Suicidal
Anxiety,493,20,17,5,4,34,3
Bipolar,30,318,28,3,13,16,8
Depression,108,72,1143,39,34,109,806
Normal,74,10,38,2064,25,110,111
Personality disorder,10,3,15,5,109,16,3
Stress,68,5,26,6,8,258,17
Suicidal,11,11,333,87,8,24,1124
