model,train_accuracy,validation_accuracy,test_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
CNN,0.8725122349102773,0.7426722497145032,0.7487947221517381,0.7245124932236754,0.7513390508431544,0.7074682188524772,0.7552156573828092
GRU,0.8158510059815117,0.6967389925136404,0.6989342806394316,0.6703706483524831,0.7007601298818535,0.6476858386698295,0.7155639232165338
