status,aspect,sentiment,count
Suicidal,self_harm,neutral,29
Suicidal,sleep,negative,1602
Suicidal,sleep,positive,349
Suicidal,sleep,neutral,23
Suicidal,social_support,negative,2991
Suicidal,social_support,positive,970
Suicidal,social_support,neutral,31
Suicidal,therapy,negative,783
Suicidal,therapy,positive,181
Suicidal,therapy,neutral,6
