model,train_accuracy,validation_accuracy,test_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
Naive Bayes,0.6958673191952148,0.58495114833143,0.579167723927937,0.5312150892601423,0.5915966163501103,0.5270935364587626,0.6690153243412136
Logistic Regression,0.8623436650353453,0.7565029818550946,0.7622430855112915,0.7327445254113594,0.7614842908138518,0.7143281943272671,0.7587812597039436
Linear SVM,0.979010331702012,0.7482552975510722,0.7588175589951789,0.7341397612752908,0.7563774487596917,0.7448913941954273,0.7262202788168083
