,Anxiety,Bipolar,Depression,Normal,Personality disorder,Stress,Suicidal
Anxiety,472,15,15,26,8,38,2
Bipolar,13,331,22,10,10,18,12
Depression,73,46,1466,117,21,55,533
Normal,18,12,33,2227,17,82,43
Personality disorder,8,1,7,13,122,8,2
Stress,44,7,20,22,16,262,17
Suicidal,2,9,306,133,4,20,1124
