,Anxiety,Bipolar,Depression,Normal,Personality disorder,Stress,Suicidal
Anxiety,495,11,28,12,5,22,3
Bipolar,15,329,42,9,5,12,4
Depression,27,26,1694,50,13,26,475
Normal,14,6,35,2297,6,40,34
Personality disorder,8,6,17,10,115,5,0
Stress,26,15,49,33,8,252,5
Suicidal,4,5,403,62,0,11,1113
