status,aspect,sentiment,compound
Normal,appetite,neutral,0.0
Normal,concentration,negative,-0.3612
Normal,hopelessness,negative,-0.3612
Normal,motivation,positive,0.8481
Normal,sleep,positive,0.5197
Normal,social_support,positive,0.7404
Normal,sleep,neutral,0.0
Normal,hopelessness,negative,-0.6597
Normal,appetite,neutral,0.0
Normal,motivation,neutral,0.0
Normal,social_support,positive,0.8994
Normal,social_support,positive,0.7713
Normal,social_support,negative,-0.4133
Normal,appetite,positive,0.6597
Normal,appetite,negative,-0.7227
Normal,motivation,positive,0.34
Normal,sleep,negative,-0.7819
Normal,social_support,negative,-0.7819
Normal,appetite,negative,-0.5106
Normal,social_support,positive,0.9621
Normal,hopelessness,positive,0.1531
Normal,hopelessness,negative,-0.3327
Normal,concentration,positive,0.7277
Normal,sleep,positive,0.6486
Normal,appetite,positive,0.7351
Normal,motivation,neutral,0.0
Normal,hopelessness,positive,0.0772
Normal,medication,negative,-0.5106
Normal,hopelessness,negative,-0.5106
Normal,hopelessness,positive,0.8508
Normal,sleep,negative,-0.4404
Normal,appetite,negative,-0.3818
Normal,medication,positive,0.8389
Normal,appetite,negative,-0.7686
Normal,social_support,positive,0.8971
Normal,hopelessness,negative,-0.9081
Normal,social_support,positive,0.25
Normal,hopelessness,positive,0.25
Normal,sleep,neutral,0.0
Normal,hopelessness,positive,0.8129
Normal,sleep,negative,-0.3182
Normal,concentration,neutral,0.0
Normal,hopelessness,negative,-0.5106
Normal,sleep,negative,-0.2716
Normal,social_support,positive,0.6956
Normal,sleep,negative,-0.7389
Normal,appetite,neutral,0.0
Normal,sleep,neutral,0.0
Normal,hopelessness,negative,-0.2846
Normal,social_support,negative,-0.2023
Normal,social_support,positive,0.3612
Normal,self_harm,negative,-0.8316
Normal,hopelessness,neutral,-0.0026
Normal,social_support,negative,-0.807
Normal,social_support,positive,0.7906
Normal,social_support,positive,0.9636
Normal,hopelessness,negative,-0.1281
Normal,sleep,negative,-0.6249
Normal,social_support,positive,0.3612
Normal,sleep,negative,-0.7579
Normal,social_support,positive,0.8834
Normal,self_harm,negative,-0.594
Normal,sleep,negative,-0.5777
Normal,motivation,positive,0.4588
Normal,hopelessness,negative,-0.5267
Normal,social_support,negative,-0.1531
Normal,sleep,negative,-0.4927
Normal,sleep,negative,-0.504
Normal,appetite,neutral,0.0
Normal,hopelessness,neutral,0.0
Normal,hopelessness,negative,-0.0772
Normal,appetite,neutral,0.0
Normal,social_support,positive,0.7562
Normal,social_support,positive,0.7964
Normal,social_support,positive,0.8313
Normal,social_support,positive,0.4767
Normal,medication,neutral,0.0
Normal,social_support,neutral,0.0
Normal,hopelessness,positive,0.6369
Normal,concentration,positive,0.9702
Normal,social_support,positive,0.9702
Normal,social_support,positive,0.9001
Normal,sleep,negative,-0.4927
Normal,appetite,positive,0.5413
Normal,sleep,neutral,0.0258
Normal,social_support,positive,0.5267
Normal,medication,neutral,0.0
Normal,sleep,positive,0.0634
Normal,social_support,positive,0.9001
Normal,appetite,positive,0.6808
Normal,sleep,neutral,0.0
Normal,medication,neutral,0.0
Normal,therapy,neutral,0.0
Normal,social_support,negative,-0.3724
Normal,hopelessness,positive,0.3182
Normal,sleep,negative,-0.7003
Normal,sleep,negative,-0.7003
Normal,social_support,negative,-0.7003
Normal,hopelessness,negative,-0.5106
