,Anxiety,Bipolar,Depression,Normal,Personality disorder,Stress,Suicidal
Anxiety,462,12,36,31,4,29,2
Bipolar,14,318,41,9,3,19,12
Depression,64,25,1552,108,9,39,514
Normal,23,8,42,2280,5,40,34
Personality disorder,11,0,14,15,111,6,4
Stress,44,11,36,50,7,221,19
Suicidal,6,5,402,132,0,16,1037
