,Anxiety,Bipolar,Depression,Normal,Personality disorder,Stress,Suicidal
Anxiety,457,40,12,2,32,32,1
Bipolar,16,341,15,0,25,14,5
Depression,94,190,1219,20,117,52,619
Normal,237,202,150,1028,332,301,182
Personality disorder,5,8,3,0,139,5,1
Stress,58,43,26,1,43,201,16
Suicidal,18,36,290,15,39,20,1180
